ID товара,Наименование,Цена,Город,Промо цена,Ссылка на страницу
3335275,Батончик ПП ореховый миндаль 40г,101.70,Санкт-Петербург,85.04,https://www.detmir.ru/product/index/id/3335275/
3491025,Батончик Racionika черника 45г,73.90,Санкт-Петербург,43.46,https://www.detmir.ru/product/index/id/3491025/
3889808,Ирис Липузя с арахисом 40г,19.70,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3889808/
3277163,Чипсы NEWTON кокосовые 40г,157.90,Санкт-Петербург,97.91,https://www.detmir.ru/product/index/id/3277163/
3422190,Батончик Bionova №1 яблоко-клубника 35г,77.90,Санкт-Петербург,51.38,https://www.detmir.ru/product/index/id/3422190/
3533594,Овощи сушеные Gifruit томат 500г,803,Санкт-Петербург,669,https://www.detmir.ru/product/index/id/3533594/
3294942,Батончик Рототайка на фруктозе ананас 27г,26.90,Санкт-Петербург,21.68,https://www.detmir.ru/product/index/id/3294942/
3366412,Чипсы Polezzno кокосовые 100г,273,Санкт-Петербург,219,https://www.detmir.ru/product/index/id/3366412/
3491231,Снек кукурузный Honest Fields морская соль 30г,131.90,Санкт-Петербург,109,https://www.detmir.ru/product/index/id/3491231/
3430081,Чипсы EcoSpace фруктовые вишня-чиа 40г,164.70,Санкт-Петербург,129,https://www.detmir.ru/product/index/id/3430081/
3430123,Батончик SIBERRYA Перемена злаковый 35г,43.50,Санкт-Петербург,34.55,https://www.detmir.ru/product/index/id/3430123/
3496566,Гранола ОлЛайт шоколадная с попкорном 40г,64.90,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3496566/
3889806,Ирис Липузя Сливочный 40г,19.70,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3889806/
3889806,Ирис Липузя Сливочный 40г,19.70,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3889806/
3277094,Снеки Зеленика сушеный виноград микс 20г,209,Санкт-Петербург,159,https://www.detmir.ru/product/index/id/3277094/
3498120,Батончик Zatochito злаковый банан-воздушный рис 4*22г,194.90,Санкт-Петербург,159,https://www.detmir.ru/product/index/id/3498120/
3537102,Криспы Happy Crisp розмарин-соль 50г,59.90,Санкт-Петербург,49.40,https://www.detmir.ru/product/index/id/3537102/
3889796,Гематоген Народный с яблоком 40г,25.10,Санкт-Петербург,22.67,https://www.detmir.ru/product/index/id/3889796/
1919681,Батончики Sponge Bob амарантовые с шоколадной начинкой глазированные 110г,156.30,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/1919681/
3295000,Батончик Bifrut мюсли на фруктозе абрикос 30г,24.50,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3295000/
3298574,Батончик Фруктовая Энергия Фрутилад апельсин-брусника 30г,40.70,Санкт-Петербург,31.58,https://www.detmir.ru/product/index/id/3298574/
3430057,Попкорн ПроПорция Барбекю острый 30г,61.30,Санкт-Петербург,48.41,https://www.detmir.ru/product/index/id/3430057/
1919661,Батончики Умные сладости лесная ягода в глазури 20г,34.90,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/1919661/
3322302,Батончик Дары Памира Шелковица с Памира шелковица-инжир 20г,55.50,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3322302/
3322304,Батончик Дары Памира Шелковица с Памира шелковица-абрикос 20г,55.10,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3322304/
3480272,Батончик SOJ фруктово-ореховый со вкусом черники миндаль-кешью-черника 40г,102.90,Санкт-Петербург,86.03,https://www.detmir.ru/product/index/id/3480272/
3710380,Биологически активная добавка Капитан Сильвер Батончик с витамином С в шоколадной глазури 50г,34.90,Санкт-Петербург,29.60,https://www.detmir.ru/product/index/id/3710380/
3444363,Батончик-мюсли Диа-Веста с абрикосом и витамином С 30г,26.50,Санкт-Петербург,22.67,https://www.detmir.ru/product/index/id/3444363/
